,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
33,Bucknell,31,13,18,.419,-12.18,-6.89,,9,9,,8,7,,5,11,,1734,1898,,1245,622,1596,.390,123,431,.285,367,497,.738,230,1006,342,190,113,473,438
34,Buffalo,33,19,14,.576,-3.98,-5.14,,10,8,,12,6,,5,7,,2175,2098,,1325,788,1904,.414,187,598,.313,412,558,.738,323,1192,436,235,67,458,606
35,Butler,32,15,17,.469,4.72,5.95,,6,12,,9,9,,5,7,,2001,1985,,1280,743,1769,.420,266,694,.383,249,348,.716,298,1049,479,194,76,465,405
36,Cal Poly,31,17,14,.548,-2.38,-2.19,,13,6,,8,4,,9,9,,1878,1884,,1250,674,1654,.407,164,493,.333,366,491,.745,348,1095,388,285,119,589,603
37,Cal State Bakersfield,29,8,21,.276,-14.10,-5.25,,5,15,,5,8,,3,12,,1703,1943,,1165,622,1703,.365,217,706,.307,242,355,.682,263,938,302,221,74,391,483
38,Cal State Fullerton,31,10,21,.323,-9.35,-2.93,,6,14,,4,9,,5,10,,1828,2027,,1240,685,1743,.393,155,514,.302,303,398,.761,316,1042,411,253,96,521,460
39,Cal State Northridge,30,3,27,.100,-18.34,-3.52,,1,19,,2,14,,1,13,,1655,2089,,1210,605,1752,.345,134,524,.256,311,464,.670,309,1085,325,265,109,538,524
40,California,34,19,15,.559,15.73,14.88,,7,11,,13,8,,5,6,,2250,2221,,1370,809,2021,.400,282,882,.320,350,465,.753,438,1256,473,234,95,506,563
41,California Baptist NCAA,32,28,4,.875,3.33,-5.67,,18,2,,14,0,,12,4,,2569,2281,,1305,886,2123,.417,311,957,.325,486,654,.743,336,1349,604,312,51,455,600
42,Campbell,31,17,14,.548,-5.88,-7.09,,9,9,,9,4,,5,9,,1884,1707,,1245,699,1648,.424,213,659,.323,273,411,.664,317,1151,411,183,104,520,428
43,Canisius,31,17,14,.548,-11.80,-10.37,,11,9,,8,5,,8,8,,1880,1915,,1245,672,1698,.396,229,677,.338,307,456,.673,354,1117,408,180,57,517,516
44,Central Arkansas,33,21,12,.636,-1.83,-5.80,,11,5,,14,1,,7,10,,2168,1948,,1330,801,1880,.426,204,655,.311,362,517,.700,333,1251,340,243,118,502,533
45,Central Connecticut State,30,9,21,.300,-21.53,-13.27,,7,9,,6,6,,3,15,,1736,1984,,1205,665,1735,.383,115,467,.246,291,384,.758,273,952,340,206,70,424,512
46,Central Michigan,28,6,22,.214,-16.59,-5.18,,4,13,,3,9,,3,13,,1722,2007,,1130,642,1663,.386,155,546,.284,283,442,.640,396,1183,325,175,107,586,500
47,Charleston Southern,30,11,19,.367,-17.49,-11.28,,8,8,,8,6,,3,12,,1831,1998,,1205,693,1768,.392,140,478,.293,305,445,.685,383,1176,342,206,91,597,501
48,Charlotte,31,16,15,.516,3.65,2.13,,9,9,,10,4,,5,8,,2000,1953,,1270,683,1743,.392,162,516,.314,472,636,.742,359,1158,378,271,106,561,551
49,Chattanooga NCAA,33,28,5,.848,2.80,-5.36,,13,1,,12,2,,11,1,,2120,1798,,1320,749,1679,.446,210,567,.370,412,534,.772,232,1057,320,191,66,409,537
50,Chicago State,27,1,26,.037,-31.63,-4.05,,,,,1,10,,0,12,,1592,2241,,1095,599,1633,.367,68,292,.233,326,448,.728,319,983,290,167,135,569,558
51,Cincinnati,32,14,18,.438,9.89,13.48,,5,13,,8,8,,4,7,,1997,2112,,1280,670,1875,.357,147,517,.284,510,704,.724,464,1269,295,212,107,520,567
52,Clemson,31,12,19,.387,10.54,11.18,,5,13,,9,7,,2,9,,2158,2178,,1254,779,1808,.431,213,669,.318,387,537,.721,353,1124,442,238,52,525,483
53,Cleveland State,35,29,6,.829,8.62,-4.33,,18,2,,17,0,,9,4,,2602,2149,,1400,924,1995,.463,191,525,.364,563,796,.707,378,1305,470,327,100,510,547
54,Coastal Carolina,33,12,21,.364,-6.27,-0.58,,5,13,,5,7,,5,12,,2197,2355,,1325,781,1956,.399,143,515,.278,492,757,.650,473,1336,362,256,125,635,629
55,Colgate,34,20,14,.588,-5.54,-9.57,,10,8,,12,6,,8,7,,2102,1894,,1365,791,1834,.431,132,381,.346,388,523,.742,325,1174,485,199,80,458,482
56,College of Charleston,32,22,10,.688,-0.63,-8.70,,13,5,,13,2,,9,7,,2411,2010,,1285,877,2188,.401,252,741,.340,405,556,.728,475,1320,402,329,69,425,523
57,Colorado NCAA,34,24,10,.706,28.61,17.67,,11,7,,11,3,,8,4,,2557,2185,,1370,965,2112,.457,229,649,.353,396,549,.721,395,1269,632,344,99,472,596
58,Colorado State,31,20,11,.645,5.40,-1.03,,10,8,,13,2,,5,9,,2127,1898,,1245,794,1794,.443,258,715,.361,281,358,.785,111,1009,453,175,144,283,382
59,Columbia NCAA,30,23,7,.767,14.39,2.19,,13,1,,15,2,,8,2,,2272,1906,,1200,838,1850,.453,238,731,.326,358,502,.713,431,1195,501,219,68,451,519
60,Connecticut NCAA,39,33,6,.846,37.65,16.62,,18,0,,15,1,,11,3,,3107,2231,,1560,1192,2402,.496,279,770,.362,444,597,.744,391,1500,764,396,151,505,563
61,Coppin State,30,12,18,.400,-11.08,-6.54,,8,6,,5,7,,6,10,,1658,1794,,1200,581,1671,.348,164,616,.266,332,534,.622,363,1068,292,238,68,492,432
