,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
148,Long Island University,30,8,22,.267,-26.78,-17.18,,5,11,,5,9,,3,13,,1747,2035,,1205,635,1661,.382,169,617,.274,308,444,.694,338,1065,366,230,90,562,484
149,Longwood,30,9,21,.300,-21.99,-10.92,,6,10,,6,6,,3,14,,1830,2060,,1200,680,1777,.383,111,394,.282,359,529,.679,360,1101,302,322,58,548,472
150,Louisiana,31,17,14,.548,-2.08,0.27,,10,8,,8,7,,7,6,,1809,1829,,1255,658,1685,.391,160,493,.325,333,485,.687,262,976,280,236,48,458,541
151,Louisiana State NCAA,37,31,6,.838,34.06,11.46,,13,3,,18,1,,8,2,,3179,2343,,1480,1137,2459,.462,161,492,.327,744,998,.745,613,1711,600,393,200,566,605
152,Louisiana Tech,33,14,19,.424,-2.10,1.13,,7,9,,9,5,,4,11,,2058,2066,,1335,752,1825,.412,199,624,.319,355,509,.697,310,1112,441,235,80,513,550
153,Louisiana-Monroe,35,21,14,.600,1.08,-2.07,,10,8,,11,4,,7,9,,2597,2376,,1400,918,2238,.410,265,829,.320,496,659,.753,401,1369,498,288,111,477,632
154,Louisville NCAA,34,24,10,.706,24.57,14.48,,12,6,,14,2,,7,5,,2496,2153,,1360,913,2027,.450,165,511,.323,505,673,.750,441,1271,453,284,58,528,610
155,Loyola (IL),31,15,16,.484,-1.65,-1.17,,8,10,,8,7,,6,8,,1947,1962,,1245,687,1697,.405,204,608,.336,369,501,.737,311,973,451,240,79,505,509
156,Loyola (MD),31,16,15,.516,-11.64,-9.39,,10,8,,8,7,,8,8,,1830,1900,,1245,700,1668,.420,123,429,.287,307,430,.714,270,977,371,217,42,431,535
157,Loyola Marymount,30,11,19,.367,-4.58,2.24,,5,10,,6,8,,4,10,,1811,1960,,1205,668,1720,.388,192,603,.318,283,407,.695,371,1022,385,206,76,475,500
158,Maine NCAA,34,24,10,.706,3.08,-3.98,,14,2,,14,2,,8,7,,2178,1938,,1360,812,2007,.405,248,818,.303,306,413,.741,417,1261,493,245,71,425,492
159,Manhattan,30,18,12,.600,-10.83,-11.33,,11,9,,11,3,,7,8,,1717,1702,,1205,630,1600,.394,157,526,.298,300,388,.773,311,1034,429,177,111,483,387
160,Marist,31,6,25,.194,-18.34,-9.96,,4,16,,4,9,,2,13,,1720,1980,,1265,618,1750,.353,163,560,.291,321,449,.715,310,1164,394,193,112,542,423
161,Marquette NCAA,32,23,9,.719,18.98,8.85,,11,7,,13,3,,7,4,,2228,1904,,1280,844,1886,.448,211,581,.363,329,431,.763,324,1165,572,219,122,469,492
162,Marshall NCAA,33,26,7,.788,9.51,-0.81,,17,1,,11,1,,12,6,,2814,2369,,1325,1000,2351,.425,350,1054,.332,464,692,.671,541,1299,543,435,86,537,705
163,Maryland NCAA,33,19,14,.576,22.60,17.97,,9,9,,12,3,,3,8,,2571,2418,,1325,929,2108,.441,191,528,.362,522,679,.769,411,1275,536,250,82,500,574
164,Maryland-Baltimore County,29,10,19,.345,-15.27,-8.71,,6,10,,6,8,,4,11,,1693,1826,,1185,632,1604,.394,130,440,.295,299,441,.678,303,968,286,179,57,483,468
165,Maryland-Eastern Shore,30,15,15,.500,-8.93,-9.10,,8,6,,10,4,,5,10,,1867,1780,,1200,685,1797,.381,137,504,.272,360,528,.682,426,1146,347,256,74,506,524
166,Massachusetts,32,5,27,.156,-12.14,0.99,,2,16,,4,9,,0,14,,1857,2277,,1280,715,1796,.398,157,514,.305,270,400,.675,283,928,395,244,55,540,564
167,Massachusetts-Lowell,29,4,25,.138,-18.24,-6.55,,4,12,,2,10,,2,15,,1505,1844,,1165,589,1594,.370,108,401,.269,219,351,.624,266,923,311,228,93,471,429
168,McNeese State,31,6,25,.194,-27.21,-5.36,,2,16,,6,13,,0,12,,2020,2430,,1245,691,1801,.384,150,522,.287,488,676,.722,326,1129,375,245,63,588,544
169,Memphis,30,13,17,.433,4.38,6.08,,9,9,,8,5,,4,9,,2028,2079,,1225,761,2041,.373,164,555,.295,342,548,.624,506,1194,330,320,133,487,640
170,Mercer,32,15,17,.469,-4.83,-5.26,,8,6,,10,4,,3,11,,2073,2059,,1295,784,2009,.390,170,501,.339,335,445,.753,456,1226,416,246,128,459,537
171,Merrimack,31,12,19,.387,-18.74,-15.44,,8,8,,7,8,,5,11,,1837,1939,,1245,647,1784,.363,178,620,.287,365,512,.713,428,1198,343,242,82,556,598
172,Miami (FL),31,19,12,.613,17.40,11.11,,8,10,,14,4,,4,6,,2066,1871,,1250,802,1857,.432,201,625,.322,261,404,.646,416,1186,401,272,117,499,507
173,Miami (OH),29,9,20,.310,-13.58,-3.76,,6,12,,6,7,,3,13,,1564,1849,,1180,584,1551,.377,141,485,.291,255,357,.714,290,970,336,246,75,547,496
174,Michigan NCAA,34,20,14,.588,19.10,13.39,,9,9,,11,4,,5,6,,2379,2185,,1370,880,2034,.433,239,677,.353,380,523,.727,409,1221,471,222,75,510,572
175,Michigan State NCAA,31,22,9,.710,26.69,10.91,,12,6,,13,2,,6,4,,2567,2078,,1240,935,1944,.481,283,757,.374,414,562,.737,279,1055,583,286,107,368,492
176,Middle Tennessee NCAA,35,30,5,.857,16.73,0.87,,16,0,,12,1,,11,3,,2498,1943,,1405,873,2007,.435,297,857,.347,455,592,.769,369,1330,460,243,175,414,528
177,Milwaukee,32,16,16,.500,-4.88,-5.85,,10,10,,8,7,,7,8,,2117,2005,,1285,767,1786,.429,219,672,.326,364,462,.788,344,1149,516,210,69,533,547
178,Minnesota,36,20,16,.556,14.03,10.64,,5,13,,15,6,,4,9,,2503,2381,,1450,945,2261,.418,241,758,.318,372,552,.674,444,1377,508,277,69,485,511
179,Mississippi NCAA,33,24,9,.727,21.31,12.19,,12,4,,11,4,,8,4,,2261,1960,,1330,825,1981,.416,101,381,.265,510,734,.695,507,1369,411,259,190,517,575
180,Mississippi State,35,23,12,.657,20.05,10.19,,8,8,,13,5,,7,6,,2647,2302,,1410,986,2194,.449,213,608,.350,462,633,.730,456,1421,599,270,162,492,473
181,Mississippi Valley State,31,4,27,.129,-24.24,-2.59,,3,15,,1,9,,3,16,,1720,2391,,1240,624,1909,.327,129,524,.246,343,543,.632,387,1079,333,311,103,582,664
182,Missouri,30,11,19,.367,11.91,12.94,,2,14,,8,7,,2,9,,2099,2130,,1205,772,1745,.442,246,692,.355,309,402,.769,251,1056,437,205,59,486,495
183,Missouri State,33,23,10,.697,5.52,-0.14,,15,5,,14,1,,7,8,,2287,2100,,1320,866,1990,.435,158,481,.328,397,567,.700,418,1192,479,275,98,473,604
184,Monmouth,32,22,10,.688,-1.37,-6.08,,14,4,,9,6,,13,3,,2052,1866,,1295,733,1792,.409,206,645,.319,380,527,.721,373,1313,387,186,187,561,485
185,Montana,33,23,10,.697,5.68,-1.64,,13,5,,11,5,,10,4,,2392,2107,,1320,847,1962,.432,357,927,.385,341,442,.771,353,1246,468,207,111,424,461
186,Montana State,33,17,16,.515,0.13,-0.57,,10,8,,10,4,,5,10,,1938,1915,,1325,684,1823,.375,151,560,.270,419,555,.755,355,1119,371,308,124,518,530
187,Morehead State,30,15,15,.500,-9.44,-6.11,,10,8,,9,6,,6,8,,1989,1968,,1230,710,1803,.394,202,661,.306,367,575,.638,421,1211,397,264,100,532,544
188,Morgan State,30,8,22,.267,-18.41,-7.02,,3,11,,5,8,,2,12,,1608,1882,,1205,606,1775,.341,110,467,.236,286,430,.665,431,1083,275,314,109,554,533
189,Mount St. Mary's,31,14,17,.452,-14.26,-10.26,,10,10,,7,6,,6,10,,1691,1815,,1245,639,1752,.365,161,607,.265,252,364,.692,302,1042,342,267,91,480,492
190,Murray State,32,20,12,.625,5.71,-2.00,,12,8,,10,4,,9,7,,2704,2407,,1286,973,2150,.453,251,787,.319,507,643,.788,413,1292,531,268,87,489,577
191,Navy,31,14,17,.452,-15.32,-9.98,,9,9,,11,6,,3,11,,1917,1976,,1245,729,1912,.381,163,578,.282,296,438,.676,350,1136,382,266,111,449,550
192,NC State NCAA,38,31,7,.816,30.41,17.70,,13,5,,17,1,,7,4,,2791,2308,,1535,1010,2378,.425,234,717,.326,537,723,.743,420,1618,508,247,165,458,479
193,Nebraska NCAA,35,23,12,.657,22.84,14.64,,11,7,,13,3,,5,7,,2533,2246,,1405,899,2141,.420,292,877,.333,443,603,.735,457,1431,580,224,72,498,583
194,Nevada,32,16,16,.500,-3.55,-1.68,,10,8,,9,6,,5,7,,2057,2080,,1295,763,2004,.381,194,596,.326,337,476,.708,405,1159,378,323,92,467,561
195,Nevada-Las Vegas NCAA,33,30,3,.909,19.63,-0.34,,17,1,,15,1,,14,1,,2608,1949,,1325,986,2127,.464,257,724,.355,379,493,.769,374,1354,520,231,76,344,457
196,New Hampshire,29,9,20,.310,-14.67,-8.63,,3,13,,7,8,,1,12,,1569,1704,,1160,591,1627,.363,132,456,.289,255,353,.722,378,1000,300,276,65,483,479
197,New Mexico,32,21,11,.656,0.29,-3.00,,12,6,,14,4,,7,4,,2071,1945,,1285,748,1891,.396,217,705,.308,358,510,.702,313,1260,376,223,90,455,416
198,New Mexico State,31,13,18,.419,-4.95,-2.72,,6,10,,7,6,,3,10,,1874,1906,,1260,698,1739,.401,131,427,.307,347,500,.694,341,1018,350,225,38,527,598
199,New Orleans,30,11,19,.367,-13.07,-6.90,,8,10,,6,6,,5,12,,1865,2050,,1216,652,1851,.352,122,440,.277,439,595,.738,366,1134,311,273,81,511,527
200,Niagara,35,21,14,.600,-5.55,-6.24,,15,5,,12,3,,7,8,,2479,2455,,1415,916,2410,.380,197,692,.285,450,656,.686,556,1257,483,530,67,681,754
201,Nicholls State,32,14,18,.438,-12.26,-8.85,,7,11,,8,5,,4,12,,2013,2021,,1285,742,1915,.387,192,628,.306,337,486,.693,335,1126,411,290,58,467,588
202,NJIT,30,12,18,.400,-15.56,-10.52,,4,12,,8,7,,4,11,,1723,1874,,1210,635,1642,.387,120,435,.276,333,481,.692,355,1102,263,212,151,537,471
203,Norfolk State NCAA,33,27,6,.818,1.29,-11.30,,13,1,,10,0,,13,5,,2210,1751,,1325,815,2017,.404,184,578,.318,396,543,.729,441,1226,417,414,104,448,559
204,North Alabama,30,12,18,.400,-12.51,-4.91,,8,8,,8,6,,4,12,,2040,2175,,1210,733,1767,.415,239,740,.323,335,476,.704,284,1041,426,215,105,535,523
205,North Carolina NCAA,33,20,13,.606,20.96,15.69,,11,7,,14,2,,3,7,,2236,2062,,1330,832,2014,.413,172,570,.302,400,606,.660,394,1277,414,241,160,431,557
206,North Carolina A&T,34,22,12,.647,-0.95,-4.64,,13,5,,11,5,,9,5,,2182,1931,,1375,763,1956,.390,155,598,.259,501,678,.739,442,1388,433,248,102,573,532
207,North Carolina Central,31,16,15,.516,-18.62,-10.94,,9,5,,8,3,,7,11,,2038,2042,,1255,757,1964,.385,161,565,.285,363,574,.632,402,1259,402,286,130,615,573
208,North Dakota,30,9,21,.300,-14.07,-1.26,,5,11,,6,10,,3,9,,2006,2297,,1199,732,1861,.393,138,510,.271,404,549,.736,357,1163,314,217,67,531,596
209,North Dakota State,34,22,12,.647,4.99,-0.04,,13,3,,13,1,,7,7,,2565,2328,,1360,904,2029,.446,246,669,.368,511,676,.756,431,1250,451,243,93,525,654
210,North Florida,30,9,21,.300,-13.94,-4.05,,3,13,,7,7,,2,13,,1906,2045,,1230,696,1763,.395,230,798,.288,284,432,.657,339,1064,358,197,52,505,516
211,North Texas,32,23,9,.719,8.82,0.76,,13,5,,12,2,,9,6,,2379,2054,,1315,863,1864,.463,145,477,.304,508,751,.676,371,1275,456,254,86,542,507
212,Northeastern,27,10,17,.370,-15.09,-7.98,,5,10,,5,8,,4,8,,1552,1744,,1085,580,1411,.411,170,517,.329,222,351,.632,247,863,347,173,68,460,405
213,Northern Arizona,35,25,10,.714,2.50,-1.32,,15,3,,9,4,,12,5,,2636,2452,,1415,961,2280,.421,270,798,.338,444,568,.782,411,1370,559,267,122,472,625
214,Northern Colorado,31,15,16,.484,-3.27,-2.99,,10,8,,9,5,,6,10,,2017,1936,,1249,713,1653,.431,199,562,.354,392,572,.685,346,1131,422,239,86,537,485
215,Northern Illinois,31,15,16,.484,-9.77,-6.34,,8,10,,8,6,,5,9,,1997,2034,,1245,735,1853,.397,210,679,.309,317,452,.701,336,1246,416,177,51,483,484
216,Northern Iowa,32,16,16,.500,6.73,3.79,,14,6,,9,4,,6,9,,2349,2255,,1285,871,1988,.438,242,725,.334,365,508,.719,329,1164,430,239,95,405,542
217,Northern Kentucky,31,11,20,.355,-7.27,-1.87,,8,12,,6,7,,5,11,,2118,2276,,1245,746,1773,.421,219,654,.335,407,597,.682,299,1084,387,194,58,485,510
218,Northwestern,30,9,21,.300,-0.56,13.61,,4,14,,6,9,,3,9,,1984,2409,,1205,745,1808,.412,165,476,.347,329,424,.776,310,1026,525,176,122,490,520
219,Northwestern State,30,11,19,.367,-12.88,-5.59,,7,11,,7,6,,4,12,,1753,1849,,1200,630,1680,.375,158,538,.294,335,517,.648,333,1153,298,177,90,517,503
220,Notre Dame NCAA,35,28,7,.800,32.26,14.74,,13,5,,13,3,,11,2,,2751,2138,,1410,1035,2273,.455,196,559,.351,485,631,.769,438,1391,568,389,163,489,561
221,Oakland,29,12,17,.414,-9.55,-2.62,,8,12,,8,8,,4,9,,2070,2114,,1190,724,1883,.384,189,634,.298,433,648,.668,430,1054,329,352,88,429,588
222,Ohio,30,11,19,.367,-11.55,-3.89,,8,10,,9,6,,2,12,,1914,2144,,1200,674,1726,.390,211,738,.286,355,515,.689,263,928,338,330,47,557,550
223,Ohio State NCAA,32,26,6,.813,31.79,16.76,,16,2,,16,2,,8,2,,2537,2047,,1291,925,1981,.467,237,681,.348,450,629,.715,316,1072,562,336,104,425,563
224,Oklahoma NCAA,33,23,10,.697,23.21,15.85,,15,3,,13,2,,8,4,,2523,2280,,1322,943,2225,.424,263,841,.313,374,525,.712,462,1433,663,287,126,532,591
225,Oklahoma State,30,14,16,.467,17.00,14.47,,7,11,,10,5,,4,7,,2069,1993,,1200,763,1733,.440,220,666,.330,323,438,.737,233,1018,419,215,76,431,471
226,Old Dominion,32,22,10,.688,2.40,-0.73,,12,6,,12,4,,9,5,,2047,1928,,1280,743,1988,.374,176,625,.282,385,605,.636,470,1264,384,342,98,536,652
227,Omaha,31,8,23,.258,-13.41,-2.17,,3,13,,5,10,,2,12,,2242,2516,,1251,751,1809,.415,197,571,.345,543,741,.733,272,980,379,246,41,467,591
228,Oral Roberts,32,21,11,.656,1.23,-0.52,,11,5,,13,2,,7,8,,2628,2413,,1285,986,2288,.431,184,645,.285,472,648,.728,435,1244,468,347,67,408,547
229,Oregon,32,11,21,.344,9.04,16.54,,2,16,,8,8,,2,12,,1914,2154,,1281,713,1821,.392,128,436,.294,360,531,.678,337,1229,399,170,139,448,377
230,Oregon State NCAA,35,27,8,.771,27.93,16.76,,12,6,,18,2,,5,4,,2483,2092,,1420,927,2001,.463,272,762,.357,357,499,.715,314,1400,618,157,162,478,470
231,Pacific,34,19,15,.559,2.13,2.56,,8,8,,12,5,,4,9,,2424,2375,,1360,921,2046,.450,161,493,.327,421,552,.763,345,1211,572,262,112,588,617
232,Penn State,35,22,13,.629,23.56,12.65,,9,9,,15,4,,5,6,,2894,2512,,1410,1068,2198,.486,294,787,.374,464,619,.750,364,1272,606,321,150,585,657
233,Pennsylvania,28,15,13,.536,-0.95,0.63,,7,7,,8,4,,7,8,,1836,1776,,1125,681,1631,.418,172,563,.306,302,398,.759,309,1020,374,174,111,421,422
234,Pepperdine,30,5,25,.167,-16.24,2.40,,1,15,,3,13,,2,11,,1627,2104,,1200,627,1653,.379,110,465,.237,263,391,.673,352,1048,320,215,101,602,514
235,Pittsburgh,32,8,24,.250,2.24,10.55,,2,16,,5,11,,2,9,,1945,2211,,1290,733,1853,.396,137,492,.278,342,487,.702,389,1206,425,205,130,560,524
236,Portland NCAA,34,21,13,.618,7.11,3.77,,9,6,,10,4,,8,7,,2309,2122,,1370,843,1978,.426,205,676,.303,418,602,.694,377,1177,555,373,189,603,624
237,Portland State,31,8,23,.258,-15.89,-3.10,,3,15,,6,9,,2,13,,1746,2096,,1240,634,1652,.384,200,671,.298,278,383,.726,294,919,317,217,60,486,463
238,Prairie View,28,11,17,.393,-18.68,-6.44,,7,10,,7,7,,4,9,,1767,1901,,1125,639,1648,.388,79,343,.230,410,581,.706,355,963,347,294,98,545,617
239,Presbyterian NCAA,36,21,15,.583,-15.61,-11.13,,8,8,,11,4,,7,9,,2072,2121,,1440,781,1944,.402,193,656,.294,317,469,.676,356,1279,467,219,55,627,478
240,Princeton NCAA,30,25,5,.833,17.09,4.13,,13,1,,11,0,,12,3,,2075,1686,,1210,821,1806,.455,150,455,.330,283,402,.704,406,1087,413,239,108,394,465
241,Providence,34,13,21,.382,4.43,7.99,,6,12,,8,9,,4,9,,1971,2092,,1365,716,1769,.405,159,497,.320,380,566,.671,396,1289,392,243,125,654,531
242,Purdue,34,15,19,.441,13.29,13.38,,5,13,,10,7,,4,9,,2318,2321,,1365,843,2030,.415,215,648,.332,417,529,.788,358,1197,518,259,103,494,533
243,Purdue Fort Wayne,36,23,13,.639,1.37,-3.19,,13,7,,12,4,,9,7,,2554,2282,,1445,908,2197,.413,319,915,.349,419,565,.742,366,1255,456,315,96,490,601
244,Queens (NC),29,7,22,.241,-22.72,-8.26,,1,15,,5,10,,2,12,,1798,2043,,1165,670,1793,.374,120,449,.267,338,515,.656,376,1053,251,261,67,496,649
245,Quinnipiac,31,13,18,.419,-13.76,-8.47,,9,11,,7,6,,5,10,,1839,2003,,1265,676,1697,.398,157,568,.276,330,460,.717,270,1034,393,186,69,510,555
246,Radford,33,15,18,.455,-16.10,-11.29,,9,7,,8,5,,5,10,,1897,2027,,1330,687,1852,.371,180,634,.284,343,495,.693,377,1169,351,216,85,565,526
247,Rhode Island,35,21,14,.600,9.06,1.61,,10,8,,10,5,,6,8,,2245,1984,,1400,847,2076,.408,183,615,.298,368,563,.654,500,1360,462,274,124,497,521
248,Rice NCAA,34,19,15,.559,7.96,3.82,,9,9,,9,6,,6,9,,2284,2143,,1370,826,2068,.399,201,637,.316,431,567,.760,412,1270,457,279,92,518,621
249,Richmond NCAA,35,29,6,.829,13.96,1.88,,16,2,,14,0,,9,4,,2558,2135,,1412,902,1906,.473,320,840,.381,434,539,.805,254,1191,541,212,199,500,484
250,Rider,31,10,21,.323,-19.30,-9.59,,6,14,,7,7,,2,13,,1703,2004,,1250,618,1598,.387,172,556,.309,295,426,.692,250,996,382,199,97,554,470
251,Robert Morris,30,6,24,.200,-17.88,-3.88,,2,18,,5,9,,1,15,,1660,1991,,1215,629,1739,.362,151,617,.245,251,362,.693,314,1007,322,210,91,490,600
252,Rutgers,32,8,24,.250,3.27,10.42,,2,16,,7,11,,1,10,,2106,2335,,1280,747,1779,.420,166,517,.321,446,625,.714,370,1169,397,219,132,590,602
253,Sacramento State,31,6,25,.194,-12.50,-2.34,,4,14,,4,12,,1,12,,1758,2073,,1240,637,1673,.381,196,610,.321,288,419,.687,313,1038,367,207,87,540,493
254,Sacred Heart NCAA,34,24,10,.706,-7.55,-15.71,,15,1,,13,2,,10,5,,2242,1918,,1370,824,2037,.405,182,650,.280,412,600,.687,439,1231,402,313,79,445,544
255,Saint Francis (PA),30,5,25,.167,-32.32,-13.92,,4,12,,4,9,,1,16,,1544,2096,,1200,580,1657,.350,127,494,.257,257,382,.673,324,1008,293,185,45,502,511
256,Saint Joseph's,34,28,6,.824,11.67,0.82,,15,3,,13,3,,15,2,,2221,1852,,1365,828,1882,.440,202,600,.337,363,449,.808,331,1194,501,185,101,444,437
257,Saint Louis,40,22,18,.550,2.06,3.14,,8,9,,10,7,,9,8,,2883,2801,,1600,1051,2452,.429,227,707,.321,554,714,.776,504,1433,585,381,83,648,725
258,Saint Mary's (CA),31,13,18,.419,-3.15,1.78,,6,10,,9,7,,4,10,,1892,2024,,1255,703,1608,.437,184,537,.343,302,407,.742,225,887,421,258,66,491,503
259,Saint Peter's,30,7,23,.233,-22.72,-10.86,,4,16,,4,8,,3,14,,1517,1873,,1210,514,1475,.348,160,594,.269,329,476,.691,295,983,320,278,65,664,510
260,Sam Houston,29,7,22,.241,-13.42,-2.56,,2,14,,6,9,,1,12,,1921,2098,,1180,644,1811,.356,150,535,.280,483,693,.697,440,1105,330,244,71,530,564
261,Samford,30,14,16,.467,-10.68,-4.79,,6,8,,11,4,,3,10,,1742,1824,,1200,624,1635,.382,162,539,.301,332,529,.628,300,1071,318,189,113,438,448
262,San Diego,31,9,22,.290,-3.53,2.47,,4,12,,6,11,,2,10,,1947,2073,,1240,732,1777,.412,103,348,.296,380,538,.706,398,1115,455,244,105,530,546
263,San Diego State,35,22,13,.629,0.75,-0.53,,10,8,,12,4,,5,9,,2321,2252,,1420,844,2047,.412,192,603,.318,441,583,.756,313,1248,463,278,112,470,518
264,San Francisco,30,14,16,.467,0.40,1.47,,10,6,,8,6,,6,8,,2005,2014,,1205,724,1840,.393,194,646,.300,363,526,.690,362,1128,440,204,71,465,469
265,San Jose State,31,7,24,.226,-11.46,-2.26,,2,16,,4,9,,3,13,,1870,2052,,1240,697,1705,.409,204,620,.329,272,376,.723,355,1073,411,261,94,626,565
266,Santa Clara,34,25,9,.735,9.73,2.32,,12,4,,13,1,,11,6,,2365,2011,,1360,856,1995,.429,271,758,.358,382,469,.814,396,1249,510,225,106,458,490
267,Seattle,29,6,23,.207,-14.97,-3.39,,6,14,,3,11,,3,12,,1844,2180,,1174,664,1744,.381,191,657,.291,325,457,.711,364,1035,369,246,87,518,553
268,Seton Hall,32,17,15,.531,13.47,8.78,,8,10,,11,5,,4,8,,2060,1910,,1295,765,1855,.412,179,572,.313,351,467,.752,341,1091,420,277,79,440,509
269,Siena,30,18,12,.600,-5.67,-10.17,,14,6,,9,4,,8,7,,2053,1918,,1205,775,1850,.419,210,656,.320,293,422,.694,372,1085,400,334,90,514,519
270,South Alabama,32,9,23,.281,-15.08,-1.92,,2,16,,4,12,,5,9,,1942,2288,,1280,677,1829,.370,182,603,.302,406,566,.717,381,1184,343,211,69,614,628
271,South Carolina NCAA,38,38,0,1.000,45.27,16.37,,16,0,,17,0,,12,0,,3247,2149,,1520,1255,2550,.492,253,640,.395,484,703,.688,553,1761,702,332,297,495,541
272,South Carolina State,30,2,28,.067,-29.86,-9.10,,1,13,,2,8,,0,18,,1450,2073,,1200,509,1443,.353,85,338,.251,347,520,.667,294,991,243,213,81,667,485
273,South Carolina Upstate,32,16,16,.500,-17.36,-13.81,,10,6,,9,4,,5,10,,1883,1965,,1285,663,1706,.389,172,537,.320,385,533,.722,321,1102,357,228,64,606,537
274,South Dakota,36,23,13,.639,0.58,-1.54,,9,7,,13,4,,7,6,,2551,2326,,1454,878,2057,.427,285,876,.325,510,654,.780,387,1375,568,218,96,554,573
275,South Dakota State NCAA,33,27,6,.818,13.18,0.47,,16,0,,13,1,,11,4,,2428,1985,,1330,881,1844,.478,223,586,.381,443,626,.708,329,1272,504,193,146,485,465
276,South Florida,33,19,14,.576,6.93,2.93,,10,8,,11,5,,5,5,,2120,1988,,1330,776,1971,.394,200,659,.303,368,489,.753,425,1306,485,162,133,441,539
277,Southeast Missouri State,29,9,20,.310,-14.05,-6.87,,6,12,,6,7,,3,13,,1800,1934,,1161,649,1712,.379,130,481,.270,372,527,.706,316,951,329,267,72,483,581
278,Southeastern Louisiana,31,19,12,.613,-3.08,-4.93,,14,4,,11,4,,7,5,,1970,1799,,1270,736,1829,.402,108,386,.280,390,564,.691,312,1165,375,249,83,414,555
279,Southern,30,15,15,.500,-7.28,-3.45,,13,5,,8,3,,7,11,,1819,1874,,1210,663,1705,.389,125,405,.309,368,563,.654,295,937,355,311,71,493,606
280,Southern California NCAA,35,29,6,.829,30.21,17.78,,13,5,,15,2,,7,3,,2622,2187,,1420,930,2199,.423,271,760,.357,491,655,.750,424,1345,521,280,210,423,564
281,Southern Illinois,31,11,20,.355,-4.32,-1.48,,6,14,,6,10,,3,8,,2035,2123,,1260,737,1877,.393,141,472,.299,420,603,.697,389,1086,423,345,97,503,613
282,SIU Edwardsville,31,5,26,.161,-18.00,-6.47,,2,16,,5,9,,0,17,,2110,2388,,1240,710,1808,.393,246,701,.351,444,570,.779,325,1092,446,201,89,553,613
283,Southern Indiana,32,25,7,.781,0.00,-7.07,,17,1,,15,3,,8,4,,2306,1997,,1285,841,1871,.449,234,644,.363,390,526,.741,338,1261,456,225,89,523,593
284,Southern Methodist,30,14,16,.467,4.60,3.10,,8,10,,10,7,,4,6,,2095,2050,,1220,779,1790,.435,126,413,.305,411,591,.695,318,1103,441,245,101,439,514
285,Southern Mississippi,34,20,14,.588,1.41,-1.41,,10,8,,14,3,,5,9,,2294,2159,,1370,871,2055,.424,137,477,.287,415,553,.750,435,1348,443,269,95,565,563
286,Southern Utah,30,8,22,.267,-12.47,-3.85,,6,14,,5,10,,3,11,,1972,2208,,1215,757,1821,.416,182,625,.291,276,422,.654,352,1124,427,132,113,454,466
287,St. Bonaventure,30,4,26,.133,-13.37,-1.53,,1,17,,3,10,,1,15,,1640,1995,,1200,583,1620,.360,165,606,.272,309,423,.730,274,961,271,186,49,492,457
288,St. John's (NY),33,18,15,.545,9.53,7.31,,11,7,,11,3,,7,8,,1993,1920,,1335,738,1733,.426,153,504,.304,364,490,.743,290,1016,384,227,75,441,429
289,St. Thomas,31,15,16,.484,-8.24,-2.20,,7,9,,8,6,,7,7,,2103,2206,,1240,762,1777,.429,193,650,.297,386,505,.764,308,1041,455,248,92,544,563
290,Stanford NCAA,36,30,6,.833,33.90,16.43,,15,3,,17,2,,9,2,,2789,2160,,1455,1051,2272,.463,264,763,.346,423,546,.775,484,1594,659,188,192,448,531
291,Stephen F. Austin,34,22,12,.647,-0.34,-3.24,,14,6,,12,4,,8,6,,2572,2334,,1380,916,2161,.424,241,798,.302,499,670,.745,419,1352,561,338,126,527,585
292,Stetson,32,17,15,.531,-9.49,-6.43,,12,4,,10,5,,7,8,,1849,1882,,1285,676,1795,.377,120,536,.224,377,576,.655,379,1174,292,226,89,517,535
293,Stonehill,30,4,26,.133,-30.17,-13.40,,4,12,,3,12,,1,14,,1566,2069,,1200,568,1665,.341,165,598,.276,265,377,.703,334,1029,347,130,73,575,433
294,Stony Brook,33,28,5,.848,8.96,-6.32,,15,2,,13,1,,13,3,,2405,1901,,1330,868,2016,.431,234,707,.331,435,570,.763,389,1391,482,255,115,529,485
295,Syracuse NCAA,32,24,8,.750,19.68,11.34,,13,5,,14,2,,7,5,,2369,2102,,1285,873,2101,.416,225,695,.324,398,545,.730,522,1322,403,296,143,470,458
296,Tarleton State,31,11,20,.355,-12.66,-6.20,,7,13,,5,8,,5,11,,1902,2028,,1240,683,1777,.384,178,581,.306,358,486,.737,317,1143,409,185,120,473,515
297,TCU,33,21,12,.636,18.15,10.47,,6,10,,16,4,,2,7,,2294,2010,,1320,814,1873,.435,312,852,.366,354,487,.727,345,1258,551,179,160,472,499
298,Temple,32,20,12,.625,8.87,1.84,,13,5,,10,6,,8,4,,2238,2013,,1307,849,2148,.395,182,592,.307,358,505,.709,518,1294,445,299,107,459,636
