,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
336,Vermont,37,25,12,.676,0.09,-6.25,,12,4,,16,3,,9,6,,2199,1955,,1480,741,1938,.382,135,495,.273,338,476,.710,353,1162,320,230,93,473,477
337,Villanova,35,22,13,.629,17.27,12.07,,11,7,,13,4,,8,7,,2269,2087,,1410,778,1967,.396,176,538,.327,355,473,.751,407,1280,426,184,118,524,522
338,Virginia,32,16,16,.500,15.60,12.26,,7,11,,10,8,,5,6,,2319,2212,,1285,784,1951,.402,209,690,.303,435,600,.725,356,1213,472,224,117,497,532
339,Virginia Commonwealth,32,26,6,.813,9.15,-0.05,,15,3,,14,1,,8,4,,2025,1701,,1280,628,1740,.361,150,617,.243,295,410,.720,300,964,310,211,82,465,541
340,Virginia Tech NCAA,33,25,8,.758,26.88,13.40,,14,4,,16,1,,6,5,,2482,2037,,1325,746,1988,.375,163,577,.282,382,517,.739,334,1091,302,209,81,384,543
341,Wagner,28,7,21,.250,-29.80,-16.39,,4,12,,5,7,,2,12,,1548,1877,,1132,664,1582,.420,191,584,.327,358,523,.685,368,1077,418,268,73,536,479
342,Wake Forest,32,7,25,.219,6.05,14.11,,2,16,,3,13,,2,10,,1904,2162,,1280,782,1781,.439,194,567,.342,404,544,.743,342,1163,408,227,103,487,482
343,Washington,31,16,15,.516,18.65,13.48,,6,12,,10,7,,4,7,,1990,1830,,1270,694,1768,.393,157,537,.292,285,410,.695,315,1048,342,179,90,441,446
344,Washington State,36,21,15,.583,21.88,14.57,,7,11,,12,6,,7,6,,2487,2224,,1450,854,2166,.394,199,599,.332,317,427,.742,399,1256,427,213,71,479,507
345,Weber State,33,8,25,.242,-12.14,-1.80,,4,14,,4,8,,3,15,,1882,2199,,1320,798,1874,.426,245,700,.350,358,468,.765,311,1153,457,265,123,443,495
346,West Virginia NCAA,33,25,8,.758,27.52,11.67,,12,6,,14,2,,6,5,,2431,1908,,1325,680,1708,.398,157,533,.295,391,551,.710,340,1132,361,227,95,779,612
347,Western Carolina,30,6,24,.200,-22.90,-7.38,,1,13,,4,12,,2,11,,1705,1992,,1200,716,1791,.400,188,588,.320,372,539,.690,412,1124,323,254,81,402,441
348,Western Illinois,30,18,12,.600,-9.34,-10.99,,9,9,,13,4,,5,7,,2230,1995,,1220,712,1836,.388,191,657,.291,380,556,.683,315,1076,370,262,69,469,637
349,Western Kentucky,32,15,17,.469,-1.37,-0.40,,6,10,,9,5,,4,9,,2060,2032,,1285,700,1755,.399,215,712,.302,417,582,.716,403,1263,425,238,90,631,526
350,Western Michigan,30,12,18,.400,-8.61,-4.54,,7,11,,7,7,,4,9,,1866,1971,,1205,716,1638,.437,165,544,.303,374,520,.719,338,1102,395,235,97,540,490
351,Wichita State,32,10,22,.313,-3.74,2.11,,5,13,,6,10,,2,10,,2049,2236,,1290,838,1964,.427,196,683,.287,364,561,.649,397,1287,489,247,114,524,587
352,William & Mary,29,15,14,.517,-4.06,-4.71,,11,6,,6,7,,8,6,,1833,1814,,1165,648,1697,.382,147,512,.287,371,516,.719,356,1144,311,240,82,534,490
353,Winthrop,30,14,16,.467,-19.34,-12.78,,8,8,,8,6,,5,8,,1703,1807,,1220,657,1634,.402,175,594,.295,318,458,.694,313,1033,342,239,66,560,501
354,Wisconsin,32,15,17,.469,6.95,12.11,,6,12,,9,8,,5,7,,2007,2172,,1279,780,1936,.403,227,663,.342,385,534,.721,387,1152,459,295,83,470,535
355,Wofford,30,17,13,.567,-4.50,-6.31,,8,6,,13,2,,3,10,,1999,1834,,1200,684,1813,.377,188,739,.254,278,422,.659,340,1186,365,158,82,447,480
356,Wright State,33,18,15,.545,-4.46,-1.85,,11,9,,11,5,,6,8,,2316,2336,,1340,865,1984,.436,188,566,.332,418,603,.693,367,1267,440,259,93,496,532
357,Wyoming,33,18,15,.545,5.22,2.56,,11,7,,12,5,,5,8,,2104,1973,,1324,737,1827,.403,177,567,.312,322,433,.744,270,1034,338,230,82,378,486
358,Xavier,28,1,27,.036,-13.59,8.34,,0,18,,1,12,,0,13,,1420,2034,,1125,744,1649,.451,202,594,.340,344,449,.766,363,1093,510,271,126,423,401
359,Yale,27,8,19,.296,-8.66,-0.95,,5,9,,5,8,,3,11,,1638,1846,,1085,670,1495,.448,131,410,.320,375,505,.743,277,927,336,189,79,385,452
360,Youngstown State,32,14,18,.438,-7.94,-4.29,,9,11,,9,7,,5,9,,1938,2005,,1280,714,1832,.390,190,659,.288,387,524,.739,354,1138,405,261,95,471,494


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">CBB at Sports Reference</a>: <a href="https://www.sports-reference.com/cbb/seasons/women/2024-opponent-stats.html?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#basic_opp_stats">View Original Table</a><br>Generated 9/13/2024.
