,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
59,Columbia NCAA,30,23,7,.767,14.39,2.19,,13,1,,15,2,,8,2,,2272,1906,,1200,703,1762,.399,163,515,.317,337,455,.741,318,956,398,180,85,448,485
60,Connecticut NCAA,39,33,6,.846,37.65,16.62,,18,0,,15,1,,11,3,,3107,2231,,1560,820,2301,.356,248,881,.281,343,479,.716,423,1288,458,213,92,664,639
61,Coppin State,30,12,18,.400,-11.08,-6.54,,8,6,,5,7,,6,10,,1658,1794,,1200,682,1705,.400,138,469,.294,292,418,.699,365,1161,341,231,99,496,493
62,Cornell,26,7,19,.269,-11.40,0.03,,1,13,,3,8,,4,11,,1455,1752,,1040,639,1492,.428,155,494,.314,319,450,.709,297,972,388,212,89,397,472
63,Creighton NCAA,32,26,6,.813,23.13,12.53,,15,3,,11,2,,10,3,,2350,2011,,1280,752,1861,.404,164,539,.304,343,481,.713,314,1099,424,181,70,400,485
64,Dartmouth,26,7,19,.269,-16.79,-3.29,,1,13,,4,9,,3,10,,1261,1519,,1040,608,1513,.402,159,489,.325,144,217,.664,298,951,345,195,61,325,352
65,Davidson,26,18,8,.692,8.52,-1.06,,8,7,,11,4,,7,4,,1689,1440,,1040,516,1367,.377,107,361,.296,301,411,.732,271,840,204,162,58,405,420
66,Dayton,31,12,19,.387,-8.26,0.50,,4,13,,7,7,,2,11,,1967,2135,,1245,782,1788,.437,193,535,.361,378,557,.679,303,1002,407,237,117,441,488
67,Delaware,31,11,20,.355,-4.73,-5.69,,7,11,,4,9,,6,7,,2090,2060,,1245,759,1885,.403,203,602,.337,339,502,.675,340,1132,445,243,110,522,533
68,Delaware State,28,8,20,.286,-25.10,-6.71,,4,10,,5,7,,3,12,,1611,1982,,1130,762,1726,.441,187,582,.321,271,401,.676,365,1091,449,265,91,484,454
69,Denver,30,8,22,.267,-9.82,-3.58,,5,11,,5,10,,3,11,,1931,2090,,1200,778,1738,.448,160,477,.335,374,480,.779,291,1089,382,172,67,392,526
70,DePaul,32,12,20,.375,7.58,7.74,,4,14,,9,8,,2,9,,2279,2284,,1290,837,1926,.435,225,629,.358,385,532,.724,324,1227,492,220,101,558,454
71,Detroit Mercy,33,17,16,.515,-9.19,-5.98,,9,11,,10,3,,6,13,,1988,2094,,1325,740,1927,.384,199,648,.307,415,575,.722,341,1089,371,307,90,444,561
72,Drake NCAA,35,29,6,.829,13.00,1.77,,19,1,,15,2,,11,3,,2843,2450,,1415,939,2261,.415,260,764,.340,312,422,.739,332,1087,506,296,120,534,654
73,Drexel NCAA,34,19,15,.559,-2.47,-3.10,,10,8,,9,6,,6,8,,1945,1900,,1368,714,1785,.400,158,512,.309,314,440,.714,360,1151,395,227,112,550,450
74,Duke NCAA,34,22,12,.647,27.57,17.25,,11,7,,14,3,,6,7,,2318,1967,,1375,700,1894,.370,167,528,.316,400,580,.690,368,1076,331,281,98,576,516
75,Duquesne,34,21,13,.618,2.65,0.62,,13,5,,11,3,,8,7,,2346,2277,,1380,809,2075,.390,243,709,.343,416,558,.746,370,1238,454,215,116,458,557
76,East Carolina,33,19,14,.576,6.51,3.69,,9,9,,10,6,,6,5,,2166,2073,,1341,738,1911,.386,194,620,.313,403,593,.680,477,1287,473,298,81,697,604
77,East Tennessee State,30,18,12,.600,-5.47,-7.86,,7,7,,12,3,,5,8,,1783,1669,,1200,611,1627,.376,176,555,.317,271,408,.664,326,1034,287,187,70,443,496
78,Eastern Illinois,33,15,18,.455,-10.32,-8.20,,11,7,,8,4,,6,11,,2167,2237,,1350,844,2055,.411,207,614,.337,342,479,.714,384,1211,483,314,90,480,508
79,Eastern Kentucky,34,22,12,.647,-4.16,-6.90,,9,7,,11,3,,10,8,,2444,2177,,1360,776,1918,.405,183,590,.310,442,615,.719,314,1198,393,252,120,626,657
80,Eastern Michigan,29,7,22,.241,-16.22,-4.72,,3,15,,5,8,,2,14,,1661,1958,,1170,710,1684,.422,193,569,.339,345,484,.713,327,1082,405,252,74,457,459
81,Eastern Washington NCAA,35,29,6,.829,7.39,-3.31,,16,2,,12,2,,12,4,,2392,1965,,1405,715,1931,.370,163,572,.285,372,494,.753,349,1257,356,237,100,597,485
82,Elon,32,11,21,.344,-13.82,-4.76,,7,11,,2,11,,9,8,,1698,1963,,1280,700,1787,.392,176,602,.292,387,531,.729,383,1240,401,243,105,534,462
83,Evansville,32,4,28,.125,-19.89,-1.64,,2,18,,2,13,,2,14,,2011,2595,,1300,961,2049,.469,186,614,.303,487,664,.733,357,1319,511,335,144,473,641
84,Fairfield NCAA,33,31,2,.939,5.03,-10.10,,20,0,,13,0,,15,2,,2391,1820,,1330,634,1755,.361,162,576,.281,390,569,.685,328,1042,339,255,70,629,555
85,FDU,31,14,17,.452,-17.79,-13.52,,11,5,,9,6,,5,11,,1811,1891,,1245,693,1756,.395,151,498,.303,354,458,.773,338,1072,372,224,79,413,493
86,Florida,32,16,16,.500,15.36,12.01,,5,11,,8,6,,3,9,,2389,2282,,1285,798,1948,.410,184,557,.330,502,700,.717,428,1271,383,217,110,570,569
87,Florida A&M,30,9,21,.300,-16.65,-6.45,,8,10,,7,5,,2,15,,1795,2101,,1220,723,1745,.414,163,518,.315,492,695,.708,429,1167,399,266,105,555,558
88,Florida Atlantic,30,11,19,.367,-4.65,0.73,,6,12,,6,8,,5,9,,1831,1969,,1205,745,1865,.399,188,575,.327,291,411,.708,417,1155,419,239,108,413,512
89,Florida Gulf Coast NCAA,34,29,5,.853,14.08,-2.61,,16,0,,18,0,,9,3,,2546,1871,,1360,696,1730,.402,146,484,.302,333,495,.673,279,1031,280,185,93,630,643
90,Florida International,33,21,12,.636,-3.05,-5.02,,11,5,,14,6,,7,5,,2263,2117,,1320,764,1909,.400,176,597,.295,413,639,.646,380,1176,360,281,114,610,627
91,Florida State NCAA,34,23,11,.676,19.85,12.79,,12,6,,13,3,,7,4,,2670,2430,,1380,944,2393,.394,219,711,.308,323,457,.707,482,1505,492,182,118,501,593
92,Fordham,29,12,17,.414,-2.91,-0.69,,7,10,,10,6,,2,10,,1811,1803,,1165,654,1615,.405,215,616,.349,280,382,.733,306,1016,397,219,69,516,407
93,Fresno State,33,15,18,.455,-4.30,-3.05,,7,11,,10,7,,3,10,,2121,2079,,1320,765,1748,.438,188,529,.355,361,509,.709,291,1124,374,205,118,552,480
94,Furman,31,15,16,.484,-12.29,-8.65,,5,9,,11,4,,3,10,,2051,1986,,1240,760,1867,.407,173,604,.286,293,445,.658,336,1053,385,252,125,451,534
95,Gardner-Webb,30,6,24,.200,-24.07,-9.64,,5,11,,4,9,,2,14,,1868,2301,,1198,818,1861,.440,187,600,.312,478,676,.707,394,1225,435,245,83,434,457
96,George Mason,31,23,8,.742,11.46,0.36,,14,4,,12,1,,11,6,,2204,1820,,1250,660,1732,.381,177,614,.288,323,476,.679,344,1138,344,185,89,582,557
97,George Washington,31,13,18,.419,-3.27,-1.51,,6,12,,10,5,,3,9,,1812,1804,,1240,642,1654,.388,156,506,.308,364,526,.692,294,1051,314,277,111,480,466
98,Georgetown,35,23,12,.657,9.13,6.39,,9,9,,9,5,,11,6,,2025,1929,,1405,700,1871,.374,181,606,.299,348,480,.725,346,1129,402,283,101,513,541
99,Georgia,30,12,18,.400,9.42,13.12,,3,13,,8,7,,1,9,,1895,2006,,1205,725,1853,.391,215,665,.323,341,502,.679,384,1134,458,233,77,446,466
100,Georgia Southern,33,15,18,.455,-6.29,-5.00,,4,14,,8,7,,5,10,,2385,2323,,1320,825,2155,.383,202,642,.315,471,702,.671,487,1396,416,298,101,655,619
101,Georgia State,30,15,15,.500,-4.69,-3.22,,9,9,,9,6,,6,8,,2094,2056,,1205,726,1838,.395,204,626,.326,400,586,.683,418,1220,413,235,95,527,520
102,Georgia Tech,33,17,16,.515,12.62,11.89,,7,11,,9,7,,6,7,,2234,2210,,1330,850,2027,.419,191,613,.312,319,466,.685,346,1226,452,224,118,462,500
103,Gonzaga NCAA,36,32,4,.889,26.30,6.64,,16,0,,16,0,,12,1,,2879,2171,,1449,821,2057,.399,200,706,.283,329,444,.741,348,1064,444,233,81,556,584
104,Grambling,33,23,10,.697,-8.38,-8.52,,15,3,,12,2,,10,7,,2374,2116,,1335,743,1988,.374,190,651,.292,440,671,.656,419,1259,430,290,100,731,651
105,Grand Canyon,32,24,8,.750,6.31,-5.01,,16,4,,13,4,,11,3,,2223,1798,,1300,637,1668,.382,181,608,.298,343,497,.690,284,1010,338,217,75,590,513
106,Green Bay NCAA,34,27,7,.794,14.22,-0.81,,17,3,,14,1,,9,4,,2512,1977,,1360,718,1859,.386,238,764,.312,303,413,.734,306,1041,436,196,62,511,560
107,Hampton,29,3,26,.103,-19.82,-6.10,,3,15,,2,9,,1,14,,1580,1978,,1160,669,1655,.404,188,608,.309,452,620,.729,382,1255,414,239,95,556,521
108,Harvard,28,16,12,.571,7.07,1.60,,9,5,,6,3,,8,9,,1929,1776,,1120,644,1586,.406,139,478,.291,349,488,.715,308,966,364,179,69,426,442
109,Hawaii,31,20,11,.645,1.70,-1.53,,17,3,,13,3,,7,7,,1846,1746,,1246,633,1752,.361,174,636,.274,306,427,.717,353,1117,322,240,85,421,513
